Gene stable ID,Interpro ID
TraesCS6A02G320900,IPR000620
TraesCS7A02G109400,IPR000620
TraesCS1B02G128000,IPR000620
TraesCS7A02G409900,IPR000620
TraesCS1B02G023900,IPR000620
TraesCS2D02G298200,IPR000620
TraesCS6A02G329900,IPR000620
TraesCS7A02G209000,IPR000620
TraesCS2D02G518100,IPR000620
TraesCS2A02G516300,IPR000620
TraesCS7B02G007600,IPR000620
TraesCS7D02G465000,IPR000620
TraesCS6A02G329800,IPR000620
TraesCS5D02G071500,IPR000620
TraesCS1A02G310300,IPR000620
TraesCS7A02G477500,IPR000620
TraesCS6B02G360700,IPR000620
TraesCS3D02G003600,IPR000620
TraesCS3D02G325400,IPR000620
TraesCS3B02G009500,IPR000620
TraesCS2B02G611600,IPR000620
TraesCS2B02G545100,IPR000620
TraesCS5A02G060000,IPR000620
TraesCS4A02G386700,IPR000620
TraesCS2B02G245300,IPR000620
TraesCS7A02G300400,IPR000620
TraesCS1A02G256700,IPR000620
TraesCS2A02G505300,IPR000620
TraesCS6B02G360400,IPR000620
TraesCS7D02G104700,IPR000620
TraesCS7B02G379000,IPR000620
TraesCS6A02G106600,IPR000620
TraesCS3D02G333300,IPR000620
TraesCS7D02G022700,IPR000620
TraesCS7D02G022800,IPR000620
TraesCS6A02G008700,IPR000620
TraesCSU02G213700,IPR000620
TraesCS1A02G019800,IPR000620
TraesCS3D02G328900,IPR000620
TraesCS4B02G351700,IPR000620
TraesCS3D02G199100,IPR000620
TraesCS7B02G120500,IPR000620
TraesCS2D02G586500,IPR000620
TraesCS4A02G464100,IPR000620
TraesCS6B02G360900,IPR000620
TraesCS3A02G019600,IPR000620
TraesCS4D02G040300,IPR000620
TraesCS4A02G284700,IPR000620
TraesCS6D02G044200,IPR000620
TraesCS1A02G019700,IPR000620
TraesCS4A02G472400,IPR000620
TraesCS7B02G388500,IPR000620
TraesCS6D02G308900,IPR000620
TraesCS7A02G281700,IPR000620
TraesCS1D02G309800,IPR000620
TraesCS2D02G225400,IPR000620
TraesCS6B02G360800,IPR000620
TraesCS3B02G371400,IPR000620
TraesCS4B02G043000,IPR000620
TraesCS6B02G360600,IPR000620
TraesCS5A02G220400,IPR000620
TraesCS6A02G038300,IPR000620
TraesCS7A02G490000,IPR000620
TraesCS3A02G196000,IPR000620
TraesCS6D02G308600,IPR000620
TraesCS5A02G220500,IPR000620
