Gene stable ID,Interpro ID
AT1G43650,IPR000620
AT2G40900,IPR000620
AT1G68170,IPR000620
AT3G28070,IPR000620
AT1G11460,IPR000620
AT4G19185,IPR000620
AT2G37450,IPR000620
AT1G60050,IPR000620
AT5G40210,IPR000620
AT3G28050,IPR000620
AT3G53210,IPR000620
AT5G45370,IPR000620
AT4G08300,IPR000620
AT5G40230,IPR000620
AT1G01070,IPR000620
AT3G45870,IPR000620
AT4G01440,IPR000620
AT3G28130,IPR000620
AT4G08290,IPR000620
AT5G47470,IPR000620
AT5G07050,IPR000620
AT1G21890,IPR000620
AT1G70260,IPR000620
AT4G30420,IPR000620
AT5G13670,IPR000620
AT4G15540,IPR000620
AT3G18200,IPR000620
AT5G40240,IPR000620
AT1G11450,IPR000620
AT3G02690,IPR000620
AT5G64700,IPR000620
AT2G37460,IPR000620
AT3G30340,IPR000620
AT3G28100,IPR000620
AT4G16620,IPR000620
AT2G05755,IPR000620
AT2G39510,IPR000620
AT3G28080,IPR000620
AT1G44800,IPR000620
AT4G32140,IPR000620
AT4G01430,IPR000620
AT4G01450,IPR000620
AT4G28040,IPR000620
AT3G56620,IPR000620
AT1G25270,IPR000620
AT1G75500,IPR000620
AT1G09380,IPR000620
