leaf_c,leaf_stress,root_c,root_stress
TraesCS1A02G019700,0,0,0,0
TraesCS1A02G095600,2.07348304307017,5.2872128373698,1.97150136225895,0.702572462456492
TraesCS1A02G164700,9.32144773543499,9.7709397298756,0.794050407293312,1.01077801863756
TraesCS1A02G256700,0,0,0.480201076168684,0.0629836308377829
TraesCS1A02G310300,0,0,9.09811464837536,7.54305828672788
TraesCS2A02G219600,0.165805170105893,0.294291974704054,24.9038699817033,20.7638312325536
TraesCS2A02G219700,1.9752685584106,2.91955336608687,3.59933481663007,1.77651683892046
TraesCS2A02G231600,2.08654718413505,1.40323164328303,0.361864681834423,0.322678843559269
TraesCS2A02G300300,0,0,0,0
TraesCS2A02G505300,1.57625903168328,1.37995585443269,0,0
TraesCS2A02G516300,1.08465241527348,1.48145979147066,5.77847812861736,5.05019409739156
TraesCS2A02G575700,0.176221490132497,0.164296699356109,2.38972406603674,1.10244924310096
TraesCS2A02G584400,0,0,1.70622176525941,3.23298119087806
TraesCS2A02G584600,0,0,1.89108563145307,1.36677898934933
TraesCS2A02G707500_M,0.859219333686166,0.713203845603217,0,0
TraesCS3A02G007100,0.0443370861984731,0,9.34602440178704,9.31913164146279
TraesCS3A02G019600,52.3796392475499,29.2529569446169,2.0005077997804,3.15994588288377
TraesCS3A02G196000,0,0,0,0
TraesCS3A02G298500,3.33006400746158,1.29413602254037,0.205937660176189,0.649478739497501
TraesCS3A02G331900,0.0554924614144824,0.0483844253968176,38.3256276634529,40.3808754865807
TraesCS3A02G335900,0,0.187032273940636,0.21491264395447,0.252048966139638
TraesCS3A02G339800,0,0,0,0
TraesCS4A02G041500,0,0,0,0
TraesCS4A02G271100,4.90093000711304,11.2251630596107,0.233224552749315,0.716202001746342
TraesCS4A02G284700,0,0.349290169277701,0,0
TraesCS4A02G415600,0.198248781581388,0,0.460955194275927,0.410567800240218
TraesCS5A02G015800,0,0,3.02798540608934,1.82609121177719
TraesCS5A02G060000,0.105904535100528,0.097463530268105,0.0401064443639688,0.105389828580482
TraesCS5A02G220400,0.147438041504507,0.197462993370853,0.267224380178449,0.239342340327817
TraesCS5A02G220500,2.20734667157786,2.93920896066372,26.3126083810377,31.0272878243589
TraesCS5A02G483100,0.0569122246816658,0,2.83363333571741,5.24106306544303
TraesCS6A02G008800,1.64888735686897,1.32873056905713,1.7607921338971,0.961526778095024
TraesCS6A02G009400,0.0574582460254751,0.100196824843889,1.92466313253579,1.9725157471249
TraesCS6A02G039800,0.199497936923733,0.137269778034151,0.108304661361266,0.0635097065996587
TraesCS6A02G271500,0.0422465685552794,0.364232657542462,0.936027416826821,0.889220884974373
TraesCS6A02G329600,0,0.888968024602089,13.6895955935384,1.21699408434086
TraesCS6A02G329700,0,0,0,0
TraesCS6A02G329800,0,0,4.94989220104619,1.81222521013379
TraesCS6A02G329900,0,0,0.86213875314843,0.325034459082831
TraesCS6A02G330000,0.340867425697641,0,11.1862543608256,6.61898201181687
TraesCS6A02G330100,0.142707932479201,0,70.8498421912954,56.6326950489454
TraesCS7A02G109400,0,0,0,0
TraesCS7A02G109600,0,0,0,0
TraesCS7A02G169100,31.5610992114317,13.6914141641339,84.5666780243558,36.1654321713007
TraesCS7A02G209000,1.28905425584392,1.06024262695065,0.387441425971198,0.511573177584569
TraesCS7A02G300400,0,0,0,0
TraesCS7A02G409900,10.0693366070714,8.33059841098065,8.48759148464446,7.07863735070625
TraesCS7A02G477400,0,0,0,0
TraesCS7A02G477500,0,0,0,0
TraesCS7A02G490000,0,0,0,0
TraesCS7A02G526900,0,0,0.0425132888031403,0
TraesCS1B02G023900,0,0,0,0
TraesCS1B02G128000,0.332398219402172,2.40221878316306,0.767561229157653,1.13047341534665
TraesCS1B02G181600,6.68455850760527,6.2396722498255,0.0872941828109509,0.201114070898919
TraesCS1B02G267300,0.0527122026841698,0,14.3452167747051,2.70831048870027
TraesCS1B02G321500,0,0,3.81638992242411,2.0466145836532
TraesCS2B02G245100,0.301237168472295,1.58829086641617,31.02964920857,22.7760080638281
TraesCS2B02G245300,0.771131601441798,1.14056786249058,1.76595555919547,0.611194362492671
TraesCS2B02G255800,0,0.101603203924405,0,0
TraesCS2B02G316600,0.0556278346135127,0,0,0
TraesCS2B02G533700,0.138042417312977,0.245153733549331,0,0
TraesCS2B02G545100,1.98869926629114,2.5849081753967,4.78202081563188,5.43516944223281
TraesCS2B02G611600,0,0,0.545183566624166,0.27073640827298
TraesCS2B02G598400,0,0,4.41720889469971,6.33480129151829
TraesCS2B02G598500,0,0,4.99650081153929,3.61059675515776
TraesCS2B02G855500_M,0,0,0,0
TraesCS3B02G006900,0,0,1.31233202494195,1.46933423754481
TraesCS3B02G026700,6.29418707340919,7.45552870871455,1.80254625684677,2.69428578453012
TraesCS3B02G227600,0,0,0.0353992846526817,0.0619296878853434
TraesCS3B02G338000,4.02905852195247,1.78768595978213,0.122250059078793,0.244978657144271
TraesCS3B02G362000,0.0492136051608842,0.0460703950369403,54.1027202005174,22.3053647785701
TraesCS3B02G366800,0,0,0.123108407876026,0.150100006392796
TraesCS3B02G371400,0,0,0,0
TraesCS4B02G262500,0,0,0,0
TraesCS4B02G043000,10.1408408804552,15.8828774826219,0.55339654562599,0.797265713092409
TraesCS4B02G028400,0,0,0,0
TraesCS4B02G316400,0.154153623192305,0,1.69942794967456,2.16591510321232
TraesCS5B02G014100,0,0.119383071168615,1.99553405080257,2.59087322536707
TraesCS5B02G067300,0,0,0,0
TraesCS5B02G219500,0,0,0.757181875920784,3.42967358134654
TraesCS5B02G219600,2.19367793043268,1.31738629805248,49.6042847315933,55.3399915342063
TraesCS5B02G496200,0,0.13677981992869,0.346217858913363,0.706870659965344
TraesCS6B02G015400,0.248404253023153,0.378343772218346,0.133312444982451,0.199040729961817
TraesCS6B02G014700,0,0,0.271593960063507,0.241561861603108
