LC,LN,RC,RN
TraesCS2A02G705800_M,0.896898080294477,0.800630120266846,0.519861416811535,1.83962936430559
TraesCS3A02G070300,0,0,0,0
TraesCS3A02G301300,0,0,0,0
TraesCS3A02G514400,0,0,0,0
TraesCS4A02G386700,0,0,0,0
TraesCS4A02G464100,0,0,0.0564366043388013,0.127940341389601
TraesCS4A02G464200,0.138772119796428,0,0.255038772548355,0.231266554816358
TraesCS4A02G472400,0.612105351360923,0.118387843129609,0.89995366625732,1.22410319307559
TraesCS5A02G483000,0,0.158172338536949,0.420834777214781,0
TraesCS5A02G520400,0,0,0,0
TraesCS5A02G520500,0,0,0,0
TraesCS6A02G008700,3.2559093818522,5.18599812540245,7.53253482665976,4.14932400403561
TraesCS6A02G038300,0,0,0,0
TraesCS6A02G106600,0,0,0,0
TraesCS6A02G320900,0,0,0,0
TraesCS7A02G020400,2.98523905547706,1.0950267749021,4.72960762746885,2.05860475385813
TraesCS7A02G024800,6.15900404539361,2.35473419984792,2.73765905275477,2.0289510425228
TraesCS7A02G024900,1.48317835137454,1.57774567863113,1.79904199245093,1.35946075769453
TraesCS7A02G087800,0,0,0,0
TraesCS7A02G281700,0,0,0,0
TraesCS7A02G461400,0,0,0,0
TraesCS1B02G049500,0,0,0,0
TraesCS1B02G041700,0,0,0,0
TraesCS2B02G301500,0,0,0,0
TraesCS3B02G009500,0,0,0,0
TraesCS3B02G084400,0,0,0,0
TraesCS3B02G011600,0,0.110432395812243,1.80487860276675,3.33038326020424
TraesCS4B02G086600,0.176986507595621,0,0,0
TraesCS4B02G351700,0,0,0,0
TraesCS4B02G351800,0,0,0,0
TraesCS6B02G015700,0,0,0.373601330097988,0.483968387704036
TraesCS6B02G654200_M,0.131148275412582,0,0.626671464005343,0
TraesCS7B02G007300,0,0,0.320208632674257,0.989870176865039
TraesCS7B02G120500,1.825727281692,1.02992034091358,1.06253254936496,1.52130578926997
TraesCS7B02G379400,0,0,0,0
TraesCS7B02G611500_M,0,0,0,0
TraesCS2D02G548100,0,0,0.0880599823972217,0
TraesCS2D02G555400,0,0,0,0
TraesCS2D02G667500_M,0,0,0.127372474538838,0.962500494555407
TraesCS2D02G740900_M,0,0,0.9433599865699,4.58667632103998
TraesCS3D02G488300,0,0,0,0
TraesCS4D02G164600,38.4970384820443,53.0156009543345,28.7481067928777,19.084408347938
TraesCS4D02G346500,0,0,0,0
TraesCS5D02G032500,2.19821122771321,6.14117108794613,7.54119517951749,3.66336363628104
TraesCS5D02G482100,0,0.675676958349473,7.08812287580034,9.54800490598963
TraesCS6D02G009900,1.81133747226315,2.98812929029897,2.03651576719271,1.95323160935495
TraesCS6D02G044200,0,0,0,0
TraesCS7D02G104500,0,0,0,0
TraesCS7D02G016700,11.8910126370039,1.74231165360556,12.185033035967,4.95415348895689
TraesCS7D02G022700,2.72142039215066,2.07770664692463,0.842356631616852,1.31285067457357
TraesCS7D02G022800,1.49311774464511,3.03224499476715,2.19527044725166,2.23947992955081
TraesCS7D02G104600,0,0,0,0
TraesCS7D02G082900,0,0,0,0
TraesCS7D02G280200,0,0,0.0716986432553254,0.325077988044394
TraesCS7D02G449600,0,0,0,0
TraesCS7D02G449000,0,0,0.381897436613858,1.73150348036081
TraesCSU02G149300,0,0,0,0
TraesCSU02G213700,0,0,0,0
