Root.Ctrl,Root.Stress,Shoot.Ctrl,Shoot.Stress
TraesCS1A02G019700,0,0,0,0
TraesCS1A02G095600,6.70770563350676,6.38197004530085,1.77915734976519,1.68902603840842
TraesCS1A02G164700,2.06178951643711,1.13812854562985,8.83512918656635,6.16801803736426
TraesCS1A02G256700,0,0,0,0
TraesCS1A02G310300,0.338113642512475,0.213303803920242,0,0
TraesCS2A02G219600,66.9137466027042,100.626887940281,2.12031166596003,2.88197374578195
TraesCS2A02G219700,3.96145012375387,2.92904814583274,5.33052427956211,1.9352935025986
TraesCS2A02G231600,0.104976442033878,0.122377353768802,5.90932953107782,2.81391689232371
TraesCS2A02G300300,0,0,0.310363583236228,0
TraesCS2A02G505300,0,0,0.13676600755627,0.497702868819349
TraesCS2A02G516300,9.3179394989378,9.2409048570399,8.06128052384917,7.81755781852234
TraesCS2A02G575700,0.117284338289784,0.454706341197779,0.100012051391535,0.183863843056386
TraesCS2A02G584400,9.83323767226586,12.7930501627864,0,0
TraesCS2A02G584600,2.50549703420819,1.20240506612305,0,0
TraesCS2A02G707500_M,0,0,5.21201095123156,3.68537540581875
TraesCS3A02G007100,19.6601063382176,19.2615609104067,0.321955176715523,0.563897637163118
TraesCS3A02G019600,3.81876269121992,3.06251980492139,53.2960467579512,63.8326295554922
TraesCS3A02G196000,0,0,0,0
TraesCS3A02G298500,0.14351311001585,0.774204211465086,1.33628385307057,0.580093319691003
TraesCS3A02G331900,8.89432070406513,9.4494735090713,0.118478775674034,1.16288049568005
TraesCS3A02G335900,0.256512140618926,0.228340886703131,0.862609783919119,0.85565456471852
TraesCS3A02G339800,0,0,0,0
TraesCS4A02G041500,0,0,0,0
TraesCS4A02G271100,0.833724407846857,0.211849723049584,14.419651790357,11.4837604231164
TraesCS4A02G284700,0,0,0,0
TraesCS4A02G415600,3.29119038991361,2.72384580461401,1.29442462098387,1.06347709473825
TraesCS5A02G015800,1.36487573237918,0.797974517540791,0,0
TraesCS5A02G060000,0,0,0,0.100744693222822
TraesCS5A02G220400,0.396565280779811,0.420030305758567,2.08311805112468,1.70447265910389
TraesCS5A02G220500,27.6465817364619,33.2681735063939,2.79542310261827,3.50935133359182
TraesCS5A02G483100,5.55266917773187,2.57746599313736,0,0
TraesCS6A02G008800,2.81730698287041,2.08347825249068,0.672796424941971,0.738835086426666
TraesCS6A02G009400,2.53081484549148,0.819115506896082,0.122675809793852,0
TraesCS6A02G039800,0,0,0,0
TraesCS6A02G271500,1.75744551046157,0.994106582392889,0.223901645295315,0.555677169171053
TraesCS6A02G329600,1.84898481815375,1.52314239981225,0,0
TraesCS6A02G329700,0,0,0,0
TraesCS6A02G329800,15.6143098507804,8.00880848716849,0.134716157323112,0
TraesCS6A02G329900,0.866290171355543,1.10803404638776,0,0
TraesCS6A02G330000,18.1214940516501,16.4141564049808,0.465703216568123,0.126887303489503
TraesCS6A02G330100,97.8611447706345,61.5847947786476,0.387956541328818,0.74037148568107
TraesCS7A02G109400,0,0,0,0
TraesCS7A02G109600,0,0,0,0
TraesCS7A02G169100,72.25119185678,51.3118067237324,14.7641342459247,12.3386274442546
TraesCS7A02G209000,0.824668858170306,0.614230613141713,1.75637662482993,0.953968247600089
